"week_ending_date","nhs_board_cypher","nhs_board_name","location_code","location_name","attendance","number_over_4_hours","percentage_within_4_hours","number_over_8_hours","percentage_within_8_hours","number_over_12_hours","percentage_within_12_hours"
2015-02-22,"M","NHSScotland","M","NHSScotland",25606,3579,86,737,97.1,178,99.3
2015-03-01,"M","NHSScotland","M","NHSScotland",25387,3336,86.9,590,97.7,197,99.2
2015-03-08,"M","NHSScotland","M","NHSScotland",25188,2520,90,263,99,37,99.9
2015-03-15,"M","NHSScotland","M","NHSScotland",25222,1929,92.4,155,99.4,7,100
2015-03-22,"M","NHSScotland","M","NHSScotland",26241,2177,91.7,206,99.2,23,99.9
2015-03-29,"M","NHSScotland","M","NHSScotland",26383,2221,91.6,197,99.3,17,99.9
2015-04-05,"M","NHSScotland","M","NHSScotland",26232,2470,90.6,253,99,16,99.9
2015-04-12,"M","NHSScotland","M","NHSScotland",26628,2305,91.3,184,99.3,12,100
2015-04-19,"M","NHSScotland","M","NHSScotland",25579,2342,90.8,234,99.1,42,99.8
2015-04-26,"M","NHSScotland","M","NHSScotland",26290,1958,92.6,174,99.3,37,99.9
2015-05-03,"M","NHSScotland","M","NHSScotland",24911,1624,93.5,84,99.7,10,100
2015-05-10,"M","NHSScotland","M","NHSScotland",26070,1765,93.2,151,99.4,22,99.9
2015-05-17,"M","NHSScotland","M","NHSScotland",25707,2057,92,206,99.2,54,99.8
2015-05-24,"M","NHSScotland","M","NHSScotland",25376,1971,92.2,189,99.3,36,99.9
2015-05-31,"M","NHSScotland","M","NHSScotland",25728,1966,92.4,156,99.4,19,99.9
2015-06-07,"M","NHSScotland","M","NHSScotland",24711,1862,92.5,156,99.4,18,99.9
2015-06-14,"M","NHSScotland","M","NHSScotland",26411,2039,92.3,142,99.5,20,99.9
2015-06-21,"M","NHSScotland","M","NHSScotland",25370,1576,93.8,84,99.7,1,100
2015-06-28,"M","NHSScotland","M","NHSScotland",24720,1314,94.7,82,99.7,12,100
2015-07-05,"M","NHSScotland","M","NHSScotland",25430,1353,94.7,113,99.6,11,100
2015-07-12,"M","NHSScotland","M","NHSScotland",23645,1075,95.5,66,99.7,7,100
2015-07-19,"M","NHSScotland","M","NHSScotland",23841,1148,95.2,44,99.8,1,100
2015-07-26,"M","NHSScotland","M","NHSScotland",24053,1216,94.9,66,99.7,6,100
2015-08-02,"M","NHSScotland","M","NHSScotland",24239,1066,95.6,47,99.8,1,100
2015-08-09,"M","NHSScotland","M","NHSScotland",25309,1348,94.7,78,99.7,6,100
2015-08-16,"M","NHSScotland","M","NHSScotland",25377,1504,94.1,106,99.6,6,100
2015-08-23,"M","NHSScotland","M","NHSScotland",25734,1230,95.2,39,99.8,0,100
